title,release_year,age_certification,runtime,language,genres,production_countries,seasons,imdb_score,imdb_votes
Magic Cellphone,2016,TV-PG,13,Korean,"['drama', 'comedy']",['KR'],1.0,4.1,21.0
Diamond Lover,2015,TV-PG,45,Mandarin,"['comedy', 'drama']",['CN'],1.0,6.4,138.0
Sons of the Caliphate,2015,TV-14,39,"Hausa, English",['drama'],['NG'],1.0,7.4,32.0
Fartsa,2015,TV-14,60,Russian,"['crime', 'drama']",['RU'],1.0,6.7,195.0
Singles Villa,2015,TV-14,45,N/A,"['drama', 'romance']",['CN'],1.0,7.7,28.0
Tariqi: My Way,2015,TV-14,42,Arabic,"['drama', 'music']",['EG'],1.0,7.2,143.0
The Governor,2016,TV-14,45,English,['drama'],['NG'],1.0,7.4,100.0
Back to 1989,2016,TV-14,44,Min Nan,"['scifi', 'drama']",['TW'],1.0,8.0,106.0
My Little Baby,2016,TV-PG,37,Korean,"['comedy', 'drama']",['KR'],1.0,6.9,103.0
Love Storm,2016,TV-14,87,Mandarin,['family'],['TW'],1.0,5.5,325.0
Ozark,2017,TV-MA,60,English,"['crime', 'thriller', 'drama']",['US'],4.0,8.5,278223.0
Derry Girls,2018,TV-MA,25,English,['comedy'],['GB'],3.0,8.4,28718.0
The Sinner,2017,TV-MA,45,English,"['crime', 'thriller', 'drama']",['US'],4.0,7.9,117055.0
Dark,2017,TV-MA,56,German,"['scifi', 'crime', 'drama', 'thriller']",['DE'],3.0,8.7,354443.0
Riverdale,2017,TV-14,42,English,"['thriller', 'drama', 'romance', 'crime']",['US'],6.0,6.7,139154.0
Legacies,2018,TV-14,42,English,"['scifi', 'drama', 'fantasy', 'horror']",['US'],4.0,7.3,28877.0
Mindhunter,2017,TV-MA,53,English,"['crime', 'drama', 'thriller']",['US'],2.0,8.6,261429.0
All American,2018,TV-14,42,English,"['drama', 'sport']",['US'],4.0,7.6,9704.0
Manifest,2018,TV-14,42,English,"['scifi', 'drama', 'thriller']",['US'],3.0,7.1,50145.0
Elite,2018,TV-MA,48,Spanish,"['crime', 'drama', 'thriller']",['ES'],5.0,7.4,73062.0
Cobra Kai,2018,TV-14,31,"English, Spanish","['action', 'comedy', 'drama', 'sport']",['US'],5.0,8.6,163858.0
You,2018,TV-MA,47,English,"['thriller', 'crime', 'drama', 'romance']",['US'],3.0,7.7,225949.0
Lost in Space,2018,TV-PG,49,English,"['scifi', 'action', 'drama', 'thriller', 'family']",['US'],3.0,7.3,96868.0
Money Heist,2017,TV-MA,50,"Spanish, Russian, Serbian, English","['crime', 'drama', 'thriller', 'action', 'european']",['ES'],5.0,8.3,450797.0
Good Girls,2018,TV-14,42,English,"['comedy', 'drama', 'crime']",['US'],4.0,7.7,49867.0
Bodyguard,2018,TV-MA,60,English,"['war', 'crime', 'drama', 'thriller', 'european']",['GB'],2.0,8.1,114446.0
Godless,2017,TV-MA,65,English,"['western', 'documentation', 'action', 'drama', 'crime']",['US'],1.0,7.6,27.0
Altered Carbon,2018,TV-MA,52,"English, Spanish, Arabic, German","['scifi', 'thriller', 'action', 'drama']",['US'],2.0,7.9,162018.0
Maniac,2018,TV-MA,39,English,"['drama', 'scifi', 'comedy']",['US'],1.0,7.7,74877.0
Dirty John,2018,TV-MA,44,N/A,"['crime', 'drama']",['US'],2.0,7.3,20817.0
Babylon Berlin,2017,TV-MA,49,German,"['crime', 'thriller', 'drama', 'european']",['DE'],4.0,8.4,23256.0
Charmed,2018,TV-14,42,English,"['scifi', 'drama', 'fantasy']",['US'],4.0,4.5,16091.0
The Haunting of Hill House,2018,TV-MA,58,English,"['drama', 'scifi', 'horror', 'thriller']",['US'],1.0,8.6,226817.0
HAPPY!,2017,TV-MA,43,English,"['scifi', 'comedy', 'thriller', 'action', 'crime', 'fantasy']",['US'],2.0,8.1,37747.0
Workin' Moms,2017,TV-MA,22,English,"['comedy', 'drama']",['CA'],6.0,7.8,14892.0
Wild Wild Country,2018,TV-MA,67,English,"['crime', 'documentation']",['US'],1.0,8.1,29298.0
Somebody Feed Phil,2018,TV-14,52,English,['documentation'],['US'],5.0,8.2,4420.0
Big Mouth,2017,TV-MA,27,English,"['animation', 'comedy', 'romance']",['US'],6.0,7.9,74660.0
Dynasty,2017,TV-14,42,English,['drama'],['US'],5.0,7.2,21136.0
Imposters,2017,TV-14,43,English,"['drama', 'comedy', 'crime']",['US'],2.0,7.8,13238.0
Anne with an E,2017,TV-G,46,"Micmac, French, English","['drama', 'family']",['CA'],3.0,8.7,51001.0
Manhunt,2017,TV-14,43,English,"['documentation', 'crime', 'thriller', 'drama']",['US'],2.0,8.1,57459.0
Santa Clarita Diet,2017,TV-MA,29,English,"['comedy', 'horror']",['US'],3.0,7.9,64467.0
The Bureau of Magical Things,2018,TV-G,23,"English, Dutch","['scifi', 'family', 'fantasy']",['AU'],2.0,6.7,1914.0
One Day at a Time,2017,TV-PG,29,"English, Spanish","['comedy', 'drama']",['US'],4.0,8.2,15669.0
The End of the F***ing World,2017,TV-MA,21,English,"['crime', 'comedy', 'drama', 'romance', 'thriller']",['GB'],2.0,8.1,177868.0
Safe,2018,TV-MA,45,English,"['drama', 'thriller', 'crime', 'european']",['GB'],1.0,7.2,41822.0
GLOW,2017,TV-MA,34,English,"['drama', 'comedy', 'sport', 'reality']",['US'],4.0,8.0,44751.0
Trolls: The Beat Goes On!,2018,TV-G,21,English,"['comedy', 'romance', 'animation', 'family', 'fantasy']",['US'],8.0,5.8,798.0
Collateral,2018,TV-MA,57,English,"['drama', 'thriller', 'crime']",['GB'],1.0,6.7,17304.0
Castlevania,2017,TV-MA,26,"Latin, English","['scifi', 'drama', 'fantasy', 'horror', 'animation', 'action']",['US'],4.0,8.3,61114.0
The Kominsky Method,2018,TV-MA,26,English,"['drama', 'comedy']",['US'],3.0,8.2,38232.0
Knightfall,2017,TV-14,44,"English, Arabic, Hebrew, Latin","['action', 'drama', 'history']",['US'],2.0,6.7,19809.0
Atypical,2017,TV-14,31,English,"['comedy', 'drama']",['US'],4.0,8.3,81643.0
Alias Grace,2017,TV-MA,44,English,"['drama', 'thriller', 'crime']",['CA'],1.0,7.7,31577.0
Deadwind,2018,TV-MA,46,"Finnish, German, English","['drama', 'thriller', 'crime']",['FI'],3.0,7.3,8762.0
A Series of Unfortunate Events,2017,TV-PG,47,English,"['action', 'family', 'comedy', 'drama']",['US'],3.0,7.8,59239.0
American Vandal,2017,TV-MA,33,English,"['comedy', 'drama', 'crime']",['US'],2.0,8.1,29972.0
Watership Down,2018,TV-PG,50,English,"['animation', 'action', 'drama', 'family', 'fantasy']",['GB'],1.0,7.2,6043.0
Mystery Science Theater 3000,2017,TV-14,86,English,"['scifi', 'comedy', 'thriller', 'drama', 'horror']",['US'],2.0,8.2,3605.0
Chilling Adventures of Sabrina,2018,TV-14,57,English,"['scifi', 'thriller', 'drama', 'horror', 'fantasy']",['US'],4.0,7.4,90327.0
Violet Evergarden,2018,TV-14,25,"Japanese, English","['drama', 'animation', 'scifi', 'fantasy', 'romance']",['JP'],1.0,8.4,19940.0
Narcos: Mexico,2018,TV-MA,56,English,"['drama', 'crime']",['US'],3.0,8.4,80902.0
Disenchantment,2018,TV-14,29,English,"['scifi', 'comedy', 'fantasy', 'animation', 'action']",['US'],4.0,7.2,58639.0
BAKI,2018,TV-MA,24,"English, Japanese","['action', 'animation', 'drama', 'sport']",['JP'],3.0,6.7,5706.0
Wet Hot American Summer: Ten Years Later,2017,TV-MA,27,English,['comedy'],['US'],1.0,6.9,8502.0
Seven Seconds,2018,TV-MA,62,English,"['crime', 'drama']",['US'],1.0,7.7,15323.0
Devilman Crybaby,2018,TV-MA,25,"Japanese, English","['scifi', 'animation', 'action', 'drama', 'fantasy', 'horror']",['JP'],1.0,7.6,18575.0
Oats Studios,2017,TV-MA,6,English,"['scifi', 'horror']",['US'],1.0,6.4,870.0
Two Sentence Horror Stories,2017,TV-14,22,English,"['drama', 'horror', 'thriller']",['US'],4.0,5.5,1841.0
Black Spot,2017,TV-MA,55,French,"['drama', 'thriller', 'crime', 'horror', 'european']","['BE', 'FR']",2.0,7.4,10705.0
Rust Valley Restorers,2018,TV-14,45,English,['documentation'],['CA'],4.0,7.8,2732.0
Everything Sucks!,2018,TV-14,24,English,"['drama', 'comedy']",['US'],1.0,7.5,18023.0
Bad Blood,2017,TV-14,46,English,"['drama', 'crime']",['CA'],2.0,7.5,9593.0
Five Came Back,2017,TV-MA,65,English,"['war', 'documentation', 'history']",['US'],1.0,8.3,4600.0
Queer Eye,2018,TV-14,47,English,['reality'],['US'],6.0,8.5,18147.0
James Acaster: Repertoire,2018,TV-14,52,English,['comedy'],['GB'],1.0,8.4,3545.0
The Keepers,2017,TV-MA,56,English,"['crime', 'action', 'drama', 'documentation']",['US'],1.0,7.6,14.0
13 Reasons Why,2017,TV-MA,58,English,"['drama', 'thriller']",['US'],4.0,7.5,282373.0
Pine Gap,2018,TV-MA,56,English,"['drama', 'thriller']",['AU'],1.0,7.2,4772.0
Nightflyers,2018,TV-MA,44,English,"['scifi', 'thriller', 'drama', 'horror']",['US'],1.0,5.8,13103.0
Black Lightning,2018,TV-14,42,English,"['scifi', 'action', 'drama']",['US'],4.0,6.1,24646.0
Troy: Fall of a City,2018,TV-MA,58,English,"['war', 'fantasy', 'romance', 'action']",['GB'],1.0,3.9,13677.0
The Dragon Prince,2018,TV-Y7,27,English,"['scifi', 'animation', 'action', 'drama', 'family', 'fantasy', 'thriller']",['US'],3.0,8.4,21635.0
Dear White People,2017,TV-MA,29,English,"['comedy', 'drama']",['US'],4.0,6.1,24863.0
VeggieTales in the City,2017,TV-Y,23,English,"['comedy', 'family', 'music', 'animation']",['US'],3.0,5.7,110.0
Requiem,2018,TV-MA,58,"English, British Sign , Welsh","['drama', 'animation', 'fantasy', 'thriller']",['GB'],1.0,6.4,6421.0
Wormwood,2017,TV-14,43,English,"['crime', 'drama', 'documentation', 'fantasy']",['US'],1.0,7.0,4181.0
Perfume,2018,TV-MA,29,N/A,"['crime', 'thriller', 'drama', 'documentation', 'comedy', 'romance']",['DE'],1.0,7.1,8536.0
Evil Genius,2018,TV-MA,48,English,"['crime', 'documentation']",['US'],1.0,7.5,27516.0
Explained,2018,TV-MA,21,English,['documentation'],['US'],3.0,8.0,8831.0
Cells at Work!,2018,TV-14,23,Japanese,"['action', 'fantasy', 'animation', 'comedy']",['JP'],2.0,7.5,2206.0
She-Ra and the Princesses of Power,2018,TV-Y7,24,English,"['scifi', 'action', 'family', 'animation', 'fantasy', 'comedy', 'drama']",['US'],5.0,7.8,14935.0
Stranger,2017,TV-MA,64,English,"['drama', 'thriller', 'crime', 'romance', 'scifi', 'comedy']",['KR'],2.0,8.5,7645.0
The Rain,2018,TV-MA,43,Danish,"['drama', 'scifi', 'thriller']",['DK'],3.0,7.3,616.0
The Innocent Man,2018,TV-MA,47,English,"['documentation', 'crime']",['US'],1.0,7.3,5883.0
Rascal Does Not Dream of Bunny Girl Senpai,2018,TV-14,25,Japanese,"['animation', 'comedy', 'thriller', 'fantasy', 'romance', 'drama']",['JP'],1.0,8.1,10400.0
Dirty Money,2018,TV-14,63,English,"['crime', 'documentation']",['US'],2.0,8.1,9099.0
Tidelands,2018,TV-MA,42,English,"['scifi', 'fantasy', 'crime', 'drama']",['AU'],1.0,6.8,7727.0
Hilda,2018,TV-Y7,25,English,"['scifi', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['GB'],2.0,8.5,10162.0
Friends from College,2017,TV-MA,30,English,"['comedy', 'drama']",['US'],2.0,6.9,20242.0
My Little Pony: Equestria Girls,2017,TV-Y,24,English,"['animation', 'comedy', 'family', 'fantasy']",['US'],1.0,6.4,642.0
Insatiable,2018,TV-MA,46,English,"['drama', 'comedy', 'thriller']",['US'],2.0,6.5,27275.0
Better Than Us,2018,TV-MA,52,"Mandarin, Russian, English","['scifi', 'drama']",['RU'],2.0,7.3,8711.0
Cable Girls,2017,TV-MA,50,Spanish,"['drama', 'european']",['ES'],5.0,7.6,13855.0
Sick Note,2017,TV-MA,24,English,"['comedy', 'crime']",['GB'],2.0,6.8,7173.0
MEGALOBOX,2018,TV-MA,24,"Spanish, Portuguese, English, Japanese","['action', 'animation', 'drama', 'scifi', 'sport']",['JP'],2.0,7.8,3144.0
Transformers: Cyberverse,2018,TV-Y7,11,English,"['action', 'animation', 'scifi']",['US'],3.0,6.5,350.0
Wanderlust,2018,TV-MA,57,English,['drama'],[],1.0,7.0,5225.0
Jack Whitehall: Travels with My Father,2017,TV-MA,46,English,"['reality', 'comedy', 'documentation', 'european']",['GB'],5.0,7.6,5388.0
Teasing Master Takagi-san,2018,TV-PG,24,Japanese,"['comedy', 'animation', 'romance']",['JP'],3.0,7.7,2030.0
The Boss Baby: Back in Business,2018,TV-G,23,"English, Mandarin, French, Cantonese, Spanish","['action', 'comedy', 'animation', 'family', 'fantasy']",['US'],4.0,6.4,3595.0
My Next Guest Needs No Introduction With David Letterman,2018,TV-MA,55,English,[],['US'],4.0,7.9,5194.0
Scissor Seven,2018,TV-PG,15,"Mandarin, Cantonese, Chinese, English","['action', 'animation', 'comedy', 'drama', 'fantasy', 'romance']",['CN'],3.0,8.5,297.0
Damnation,2017,TV-MA,43,English,"['western', 'drama', 'crime']",['US'],1.0,7.6,8111.0
The Magic School Bus Rides Again,2017,TV-Y,25,English,"['animation', 'family', 'fantasy']",['US'],3.0,6.2,812.0
Cathedral of the Sea,2018,TV-MA,57,Spanish,"['drama', 'history']",['ES'],1.0,7.4,4292.0
Haunted,2018,TV-MA,25,English,"['documentation', 'horror', 'reality']",['US'],3.0,4.6,3150.0
Great News,2017,TV-PG,21,English,['comedy'],['US'],2.0,7.0,6810.0
Dark Tourist,2018,TV-MA,41,English,"['action', 'documentation']",['NZ'],1.0,7.5,7158.0
Abstract: The Art of Design,2017,TV-14,45,English,['documentation'],['US'],2.0,8.4,5306.0
Bakugan: Battle Planet,2018,TV-Y7,20,"English, Korean","['scifi', 'animation', 'action', 'comedy', 'family', 'fantasy']",['JP'],4.0,5.1,220.0
Kakegurui,2017,TV-14,24,Japanese,"['action', 'animation', 'drama', 'thriller']",['JP'],2.0,7.2,8547.0
Numberblocks,2017,TV-Y,5,English,['animation'],['GB'],5.0,8.6,198.0
Dogs,2018,TV-PG,50,English,['documentation'],['US'],2.0,8.0,1269.0
The Forest,2017,TV-MA,52,French,"['crime', 'thriller', 'drama', 'european']",['FR'],1.0,7.2,10137.0
Zoids Wild,2018,TV-Y7,21,Japanese,"['scifi', 'action', 'comedy', 'animation']",['JP'],1.0,6.0,25.0
Mr. Sunshine,2018,TV-MA,76,"Korean, Japanese, English","['drama', 'action', 'history', 'romance', 'war']",['KR'],1.0,8.7,6855.0
Hotel Transylvania: The Series,2017,TV-Y7,16,English,"['comedy', 'family', 'fantasy', 'horror', 'animation']",['US'],2.0,5.5,694.0
My Mister,2018,TV-14,79,Korean,"['drama', 'family']",['KR'],1.0,9.2,5481.0
Magic for Humans,2018,TV-14,24,English,"['comedy', 'reality']",['US'],3.0,7.1,3316.0
Bill Nye Saves the World,2017,TV-14,30,N/A,['comedy'],['US'],3.0,3.5,7233.0
1983,2018,TV-MA,57,"Polish, English, Vietnamese, Russian, Chinese","['drama', 'crime', 'thriller']",['PL'],1.0,6.8,4173.0
Innocent,2017,TV-14,51,N/A,"['drama', 'crime']",['TR'],1.0,8.4,17727.0
Black Earth Rising,2018,TV-MA,59,English,"['crime', 'thriller']",['GB'],1.0,7.4,4790.0
I Am a Killer,2018,TV-MA,46,English,"['crime', 'documentation']",['GB'],2.0,7.4,3937.0
Nailed It!,2018,TV-PG,33,English,"['reality', 'comedy']",['US'],6.0,7.4,4682.0
Aggretsuko,2018,TV-14,16,Japanese,"['animation', 'music', 'romance', 'comedy', 'drama']",['JP'],4.0,8.0,6005.0
Immortals,2018,TV-MA,28,Turkish,"['scifi', 'action', 'drama', 'fantasy', 'thriller', 'music']",['TR'],1.0,5.4,3087.0
On My Block,2018,TV-14,29,English,"['comedy', 'drama']",['US'],4.0,7.9,15642.0
Sunderland 'Til I Die,2018,TV-MA,41,English,"['documentation', 'sport']",['GB'],2.0,8.1,7943.0
Gypsy,2017,TV-MA,59,English,"['drama', 'thriller']",['US'],1.0,6.8,16133.0
Alexa & Katie,2018,TV-Y7,25,English,"['comedy', 'drama']",['US'],4.0,7.4,4687.0
Life Sentence,2018,TV-14,42,English,"['drama', 'comedy']",['US'],1.0,6.4,3855.0
Cry Babies Magic Tears,2018,TV-Y,12,N/A,"['animation', 'family']",['FR'],2.0,4.8,36.0
She's Gotta Have It,2017,TV-MA,32,N/A,['comedy'],['US'],2.0,6.8,4624.0
The Toys That Made Us,2017,TV-14,45,English,"['documentation', 'comedy', 'history']",['US'],3.0,8.0,5545.0
The Standups,2017,TV-MA,30,English,['comedy'],['US'],3.0,6.6,1225.0
Baby,2018,TV-MA,45,Italian,['drama'],['IT'],3.0,6.8,10990.0
Unsolved: The Murders of Tupac and The Notorious B.I.G.,2018,TV-MA,45,English,['crime'],['US'],1.0,7.8,7651.0
Disjointed,2017,TV-MA,27,"Mandarin, English",['comedy'],['US'],2.0,6.8,9980.0
Spirit: Riding Free,2017,TV-Y7,23,English,"['action', 'animation', 'comedy', 'drama', 'family', 'western', 'documentation']",['US'],11.0,6.6,993.0
White Gold,2017,TV-MA,29,English,"['comedy', 'european']",['GB'],2.0,7.4,10981.0
Voice,2017,TV-14,63,Korean,"['crime', 'thriller', 'action']",['KR'],4.0,7.5,1949.0
The Good Cop,2018,TV-PG,49,English,"['comedy', 'drama', 'crime', 'documentation']",['US'],1.0,6.9,5620.0
Record of Grancrest War,2018,TV-14,24,Japanese,"['scifi', 'action', 'fantasy', 'war', 'animation']",['JP'],1.0,7.1,893.0
Hitler's Circle of Evil,2018,TV-14,52,English,"['documentation', 'war', 'history']",['GB'],1.0,8.0,4241.0
Rotten,2018,TV-MA,56,English,['documentation'],['US'],2.0,7.2,3675.0
Because This Is My First Life,2017,TV-14,56,Korean,"['comedy', 'drama', 'romance']",['KR'],1.0,8.2,4168.0
Abby Hatcher,2018,TV-Y,20,English,"['fantasy', 'animation', 'comedy', 'family']",['US'],3.0,6.1,163.0
Unauthorized Living,2018,TV-MA,76,Spanish,['drama'],['ES'],2.0,7.4,4555.0
LEGO Friends: Girls on a Mission,2018,TV-Y,11,English,['animation'],"['DK', 'US']",4.0,7.7,106.0
Tabula Rasa,2017,TV-MA,52,Dutch,"['drama', 'horror', 'thriller', 'european']",['BE'],1.0,8.0,10161.0
Murder Mountain,2018,TV-MA,49,English,"['crime', 'documentation']",['US'],1.0,6.8,3045.0
SKY Castle,2018,TV-MA,68,Korean,['drama'],['KR'],1.0,8.6,2835.0
Sisters,2017,TV-14,36,English,"['drama', 'comedy']",['AU'],1.0,7.5,1729.0
Suburra: Blood on Rome,2017,TV-MA,48,Italian,"['crime', 'action', 'european']",['IT'],3.0,7.9,14346.0
Just Between Lovers,2017,TV-14,73,Korean,"['drama', 'romance']",['KR'],1.0,8.2,1872.0
The Epic Tales of Captain Underpants,2018,TV-Y7,24,English,"['animation', 'comedy', 'family', 'action']",['US'],4.0,6.7,879.0
Ugly Delicious,2018,TV-MA,51,English,['documentation'],['US'],2.0,7.8,3505.0
The House of Flowers,2018,TV-MA,31,Spanish,"['drama', 'comedy']",['MX'],3.0,7.6,7722.0
Somewhere Between,2017,TV-14,42,English,"['crime', 'drama', 'scifi', 'thriller']",['US'],1.0,6.2,5746.0
Hot Date,2017,TV-MA,19,English,['comedy'],['US'],2.0,7.1,616.0
Lawless Lawyer,2018,TV-14,64,Korean,"['action', 'crime', 'drama', 'thriller']",['KR'],1.0,7.7,1572.0
Welcome to the Family,2018,TV-MA,48,Catalan,['comedy'],['ES'],2.0,6.6,442.0
Llama Llama,2018,TV-Y,15,N/A,"['animation', 'family']",['US'],2.0,6.5,270.0
Borderliner,2017,TV-MA,49,Danish,"['drama', 'thriller', 'crime', 'history', 'war', 'documentation']",['NO'],1.0,6.8,3999.0
A Korean Odyssey,2017,TV-MA,75,Korean,"['comedy', 'romance', 'fantasy', 'horror']",['KR'],1.0,8.0,4535.0
Power Rangers Ninja Steel,2017,TV-Y7,24,English,"['action', 'scifi', 'thriller', 'drama']",['US'],2.0,6.1,862.0
Cloudy with a Chance of Meatballs,2017,TV-Y7,11,English,"['action', 'fantasy', 'scifi', 'animation', 'comedy', 'family']",['CA'],2.0,3.4,750.0
Man Like Mobeen,2017,TV-MA,22,English,['comedy'],['GB'],3.0,8.0,2664.0
Granblue Fantasy: The Animation,2017,TV-14,23,Japanese,"['scifi', 'animation', 'fantasy']",['JP'],2.0,6.4,391.0
Meteor Garden,2018,TV-14,45,Mandarin,"['comedy', 'family', 'drama', 'romance']",['CN'],1.0,7.9,3921.0
Wolf,2018,TV-MA,80,"Turkish, English, German","['war', 'drama', 'action', 'thriller']",['TR'],1.0,8.1,7426.0
Fallet,2017,TV-MA,28,Swedish,"['drama', 'comedy', 'crime', 'european']",['SE'],1.0,6.8,1873.0
The Hollow,2018,TV-Y7,24,English,"['comedy', 'scifi', 'animation', 'drama', 'family']",['CA'],2.0,7.1,4198.0
The Mire,2018,TV-MA,51,Polish,"['crime', 'drama', 'thriller']",['PL'],2.0,7.0,4312.0
GHOUL,2018,TV-MA,46,"Hindi, English","['scifi', 'drama', 'fantasy', 'horror']",['IN'],2.0,8.0,6.0
Transformers: Rescue Bots Academy,2018,TV-Y,12,N/A,"['scifi', 'animation', 'action', 'comedy', 'family']",[],2.0,6.0,100.0
Hero Mask,2018,TV-14,24,Japanese,"['scifi', 'animation', 'action', 'crime']",['JP'],2.0,6.1,657.0
The Fix,2018,TV-MA,29,English,['comedy'],['US'],1.0,7.0,1895.0
The Beauty Inside,2018,TV-14,68,Korean,"['drama', 'fantasy', 'romance']",['KR'],1.0,7.6,1889.0
Fate/Apocrypha,2017,TV-14,24,Japanese,"['action', 'scifi', 'animation', 'drama', 'fantasy']",['JP'],1.0,6.6,2259.0
The Casketeers,2018,TV-14,22,"English, Maori","['reality', 'documentation']",['NZ'],5.0,7.5,450.0
The Guest,2018,TV-MA,66,Korean,"['crime', 'thriller', 'drama', 'horror', 'comedy']",['KR'],1.0,8.1,1537.0
Rainbow Rangers,2018,TV-Y,22,English,"['family', 'fantasy', 'animation']",['US'],2.0,5.8,187.0
The Mechanism,2018,TV-MA,47,Portuguese,"['drama', 'thriller', 'crime']",['BR'],2.0,8.0,36077.0
Memories of the Alhambra,2018,TV-MA,68,"Korean, English, Spanish","['action', 'scifi', 'thriller', 'drama', 'romance']",['KR'],1.0,7.8,5363.0
Barbie: Dreamhouse Adventures,2018,TV-Y,22,English,"['comedy', 'family', 'animation']",['US'],5.0,6.7,525.0
Ad Vitam,2018,TV-MA,52,"French, Japanese, Italian, Portuguese, Russian","['scifi', 'crime', 'drama']",['FR'],1.0,6.4,1625.0
Patriot Act with Hasan Minhaj,2018,TV-MA,25,English,['comedy'],['US'],6.0,8.2,7222.0
Signs,2018,TV-MA,46,Polish,"['thriller', 'crime', 'european']",['PL'],2.0,6.4,1608.0
B: The Beginning,2018,TV-MA,25,Japanese,"['scifi', 'action', 'drama', 'thriller', 'horror', 'animation', 'fantasy', 'crime']",['JP'],2.0,7.1,4803.0
Sugar Rush,2018,TV-PG,51,English,['reality'],['US'],3.0,7.0,1508.0
El Chapo,2017,TV-MA,44,Spanish,"['drama', 'action', 'history', 'crime']",['US'],3.0,7.8,17992.0
Sacred Games,2018,TV-MA,50,N/A,"['action', 'thriller', 'crime', 'drama']",['IN'],2.0,8.6,85088.0
The Worst Witch,2017,TV-Y7,27,English,"['scifi', 'fantasy', 'family', 'european']",['GB'],4.0,7.2,2375.0
The Confession Tapes,2017,TV-MA,43,English,"['documentation', 'crime']",['US'],2.0,7.5,5340.0
Thieves of the Wood,2018,TV-MA,47,Dutch,"['drama', 'history', 'action', 'thriller', 'comedy', 'documentation']",['BE'],1.0,6.8,2533.0
Girl from Nowhere,2018,TV-MA,44,Thai,"['drama', 'fantasy', 'horror', 'thriller', 'crime']",['TH'],2.0,7.6,3979.0
Afflicted,2018,TV-MA,42,English,"['reality', 'documentation']",['BR'],1.0,5.1,1119.0
Dope,2017,TV-MA,48,English,"['war', 'crime', 'documentation', 'thriller', 'comedy', 'drama']",['US'],3.0,7.3,1643.0
Paradise PD,2018,TV-MA,27,English,"['comedy', 'crime', 'animation', 'action']",['US'],3.0,6.8,17779.0
Thus Spoke Kishibe Rohan,2017,TV-MA,24,Japanese,"['action', 'scifi', 'thriller', 'animation', 'drama', 'fantasy']",['JP'],1.0,7.6,1131.0
Welcome to Waikiki,2018,TV-MA,64,Korean,"['drama', 'comedy', 'reality']",['KR'],3.0,8.3,2038.0
The Inmate,2018,TV-MA,53,"English, Spanish","['crime', 'thriller', 'drama']",['MX'],1.0,6.9,2641.0
The Innocents,2018,TV-MA,46,English,"['drama', 'scifi', 'horror', 'romance', 'thriller']",['GB'],2.0,6.2,5784.0
Charité,2017,TV-MA,49,German,"['drama', 'history', 'european']",['DE'],3.0,7.8,3274.0
Instant Hotel,2018,TV-MA,49,English,['reality'],['AU'],2.0,7.3,1482.0
Myths & Monsters,2017,TV-PG,43,English,"['documentation', 'fantasy', 'european']",['GB'],1.0,7.8,811.0
Erased,2017,TV-14,28,Japanese,"['drama', 'scifi', 'thriller', 'fantasy']",['JP'],1.0,7.8,3596.0
The Hook Up Plan,2018,TV-14,28,French,"['comedy', 'romance']",['FR'],3.0,7.2,5212.0
Kiss Me First,2018,TV-MA,47,English,"['scifi', 'thriller', 'drama']",['GB'],1.0,6.2,3874.0
November 13: Attack on Paris,2018,TV-MA,54,French,['documentation'],['FR'],1.0,8.3,3105.0
The Bride of Habaek,2017,TV-14,67,Korean,"['drama', 'romance', 'comedy', 'fantasy']",['KR'],1.0,7.1,2501.0
The New Legends of Monkey,2018,TV-PG,25,English,"['scifi', 'action', 'comedy', 'fantasy']",['NZ'],2.0,6.4,4308.0
Medal of Honor,2018,TV-MA,55,English,"['documentation', 'war']",['US'],1.0,8.2,1687.0
True and the Rainbow Kingdom,2017,TV-Y,21,English,"['comedy', 'family', 'fantasy', 'animation']",['CA'],4.0,7.1,439.0
Something in the Rain,2018,TV-MA,70,Korean,"['drama', 'romance']",['KR'],1.0,8.2,5654.0
The Velvet Collection,2017,TV-14,57,Spanish,"['drama', 'comedy', 'romance', 'european']",['ES'],3.0,7.3,1376.0
Serial Killer with Piers Morgan,2017,TV-14,47,English,"['crime', 'documentation']",['GB'],2.0,3.8,1394.0
My Shy Boss,2017,TV-MA,71,Korean,"['comedy', 'drama', 'romance']",['KR'],1.0,7.3,1537.0
Gormiti,2018,TV-Y,11,"English, Spanish, Italian","['comedy', 'action', 'animation', 'fantasy', 'thriller']","['ES', 'IT']",4.0,5.3,111.0
Selection Day,2018,TV-14,25,English,"['drama', 'comedy', 'sport']",['IN'],1.0,7.4,2176.0
The Protector,2018,TV-MA,43,Turkish,"['action', 'scifi', 'fantasy', 'drama']",['TR'],4.0,6.5,34396.0
The Queen of Flow,2018,TV-MA,45,Spanish,"['drama', 'family', 'music']",['CO'],2.0,7.7,1202.0
Cupcake & Dino - General Services,2018,TV-Y7,16,"English, Portuguese","['animation', 'action', 'comedy', 'family']","['BR', 'CA']",2.0,7.5,663.0
Daniel Sloss: Live Shows,2018,TV-MA,60,English,['comedy'],['US'],1.0,8.5,3387.0
Warrior,2018,TV-MA,42,N/A,"['action', 'drama', 'crime']",['DK'],1.0,6.7,1966.0
Surviving Escobar - Alias JJ,2017,TV-MA,42,N/A,"['crime', 'drama']",['CO'],1.0,7.7,985.0
Children of the Whales,2017,TV-14,24,Japanese,"['scifi', 'animation', 'drama', 'fantasy']",['JP'],1.0,7.1,1524.0
