title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,Language
The Unremarkable Juanquini,SHOW,2020,TV-MA,30,['comedy'],['CO'],2.0,tt12189308,4.3,189.0,Spanish
Tijuana,SHOW,2019,TV-14,41,"['drama', 'crime']",['MX'],1.0,tt8027624,6.9,327.0,Spanish
Juman,SHOW,2019,TV-PG,40,"['romance', 'drama']",['KW'],1.0,tt12567164,5.2,110.0,Arabic
YooHoo to the Rescue,SHOW,2019,TV-Y,13,['family'],[],3.0,tt9817288,6.8,53.0,N/A
Sing On!,SHOW,2020,TV-G,36,"['reality', 'music']",['US'],1.0,tt12923734,6.4,380.0,English
Living Undocumented,SHOW,2019,TV-MA,42,['documentation'],['US'],1.0,tt10977486,6.7,577.0,"English, Spanish"
Nailed It! Mexico,SHOW,2019,TV-PG,32,['reality'],['MX'],3.0,tt9708588,6.2,308.0,Spanish
Country Ever After,SHOW,2020,TV-PG,24,"['reality', 'music']",['US'],1.0,tt12987872,6.3,169.0,English
Mighty Little Bheem,SHOW,2019,TV-Y,6,"['comedy', 'family', 'fantasy', 'animation']",['US'],3.0,tt10050752,6.4,249.0,Hindi
Rhyme Time Town,SHOW,2020,TV-Y,23,"['animation', 'comedy', 'family']",['US'],2.0,tt9165434,7.5,78.0,N/A
Sakho & Mangane,SHOW,2019,TV-MA,51,"['action', 'comedy']",['SN'],1.0,tt9391692,6.5,131.0,French
"Coronavirus, Explained",SHOW,2020,TV-PG,23,['documentation'],['US'],1.0,tt12189310,7.6,2223.0,English
Hasmukh,SHOW,2020,TV-MA,32,"['crime', 'comedy', 'drama']",['IN'],1.0,tt9359294,5.3,2673.0,Hindi
Tiffany Haddish Presents: They Ready,SHOW,2019,TV-14,23,"['comedy', 'reality']",['US'],2.0,tt10085386,6.5,555.0,English
Sing On! Spain,SHOW,2020,TV-G,39,"['music', 'reality']",['ES'],1.0,tt11698668,6.0,130.0,Spanish
Cooked With Cannabis,SHOW,2020,TV-MA,37,['reality'],['US'],1.0,tt12176398,6.5,340.0,English
Voices of Fire,SHOW,2020,TV-PG,36,"['music', 'reality']",['US'],1.0,tt13329282,6.8,382.0,English
Larry Charles' Dangerous World of Comedy,SHOW,2019,TV-MA,0,"['documentation', 'comedy']",['US'],1.0,tt9654082,7.3,570.0,N/A
Legend Quest: Masters of Myth,SHOW,2019,TV-Y7,25,"['action', 'animation']",['MX'],1.0,tt10228032,7.6,126.0,English
Badanamu Stories,SHOW,2020,TV-Y,13,['animation'],[],1.0,tt14857600,3.4,6.0,English
Hong Kong West Side Stories,SHOW,2019,TV-MA,23,"['drama', 'comedy']",['HK'],2.0,tt10284430,5.7,6.0,Cantonese
Charlie's Colorforms City,SHOW,2019,TV-Y,23,"['animation', 'family']",['US'],4.0,tt8115672,7.0,148.0,English
The Legend of White Snake,SHOW,2019,TV-14,46,"['scifi', 'drama', 'fantasy']",['CN'],1.0,tt10628250,7.4,224.0,Chinese
Bookmarks: Celebrating Black Voices,SHOW,2020,TV-G,7,['family'],['US'],1.0,tt12923664,5.0,160.0,English
Arashi's Diary: Voyage,SHOW,2019,TV-Y7,31,"['documentation', 'music']",['JP'],1.0,tt11434874,7.7,42.0,Japanese
Nailed It! Germany,SHOW,2020,TV-14,35,['reality'],['DE'],1.0,tt11460744,5.7,100.0,German
Six Windows in the Desert,SHOW,2020,TV-14,21,"['drama', 'comedy', 'history', 'scifi']",['SA'],1.0,tt11874042,4.3,3074.0,Arabic
"Wait, My Youth",SHOW,2019,TV-PG,36,"['drama', 'romance']",['CN'],1.0,tt12071466,8.1,121.0,Chinese
Nailed It! France,SHOW,2019,TV-14,34,['reality'],[],1.0,tt10990804,6.4,112.0,French
Bangkok Buddies,SHOW,2019,TV-MA,40,"['comedy', 'drama']",['TH'],1.0,tt11513508,6.8,17.0,Thai
Pinky Malinky,SHOW,2019,TV-Y7,13,"['comedy', 'family', 'animation']",['US'],3.0,tt5621544,5.8,865.0,English
The Charming Stepmom,SHOW,2019,TV-14,56,"['family', 'comedy', 'romance']",['TH'],1.0,tt13846404,7.8,17.0,Thai
Once Upon a Time in Lingjian Mountain,SHOW,2019,TV-14,45,"['action', 'comedy', 'fantasy', 'romance', 'drama']",['CN'],2.0,tt11261994,7.5,261.0,Chinese
Somewhere Only We Know,SHOW,2019,TV-MA,58,"['drama', 'romance']",['CN'],1.0,tt10472296,7.3,158.0,Chinese
Anitta: Made in Honório,SHOW,2020,TV-MA,29,"['documentation', 'music']",['BR'],1.0,tt13486136,6.8,398.0,Portuguese
In the Bosom of a Thorn,SHOW,2019,TV-14,46,['drama'],[],1.0,tt10397430,7.3,48.0,Arabic
Futmalls.com,SHOW,2020,TV-14,40,"['thriller', 'scifi']",['TW'],1.0,tt13652552,6.4,182.0,Mandarin
Valentino,SHOW,2020,TV-14,39,['comedy'],['EG'],1.0,tt11508212,5.2,213.0,Arabic
J-Style Trip,SHOW,2020,TV-14,64,['reality'],"['CN', 'TW']",1.0,tt11942052,4.9,111.0,Mandarin
糖糖Online,SHOW,2019,TV-MA,24,['drama'],['TW'],1.0,tt11330500,5.5,21.0,Chinese
Sleepless Society NYCTOPHOBIA,SHOW,2019,TV-MA,46,"['drama', 'thriller']",['TH'],1.0,tt10805822,5.5,43.0,N/A
Holiday Home Makeover with Mr. Christmas,SHOW,2020,TV-G,43,['reality'],['US'],1.0,tt13255112,5.8,291.0,English
Buddi,SHOW,2020,TV-Y,8,"['fantasy', 'animation', 'comedy', 'family']",['US'],2.0,tt11829340,7.1,61.0,English
Kings of Jo'Burg,SHOW,2020,TV-MA,51,"['crime', 'thriller']",['ZA'],1.0,tt13453828,5.6,491.0,"Zulu, English"
The House Arrest of Us,SHOW,2020,TV-PG,26,"['comedy', 'romance']",['PH'],1.0,tt13280838,5.6,107.0,"Tagalog, Filipino"
The Smart Money Woman,SHOW,2020,TV-MA,48,['drama'],[],1.0,tt12428002,6.4,105.0,English
Fary: Hexagone,SHOW,2020,TV-MA,51,['comedy'],['FR'],1.0,tt11823028,6.2,126.0,French
